"Series ID","Industry","State"
"SMU13000000000000001","Total Nonfarm","Georgia"
"SMU13000000500000001","Total Private","Georgia"
"SMU13000000600000001","Goods Producing","Georgia"
"SMU13000000700000001","Service-Providing","Georgia"
"SMU13000000800000001","Private Service Providing","Georgia"
"SMU13000001000000001","Mining and Logging","Georgia"
"SMU13000001500000001","Mining, Logging and Construction","Georgia"
"SMU13000002000000001","Construction","Georgia"
"SMU13000002023600001","Construction of Buildings","Georgia"
"SMU13000002023700001","Heavy and Civil Engineering Construction","Georgia"
"SMU13000002023800001","Specialty Trade Contractors","Georgia"
"SMU13000003000000001","Manufacturing","Georgia"
"SMU13000003100000001","Durable Goods","Georgia"
"SMU13000003133600001","Transportation Equipment Manufacturing","Georgia"
"SMU13000003200000001","Non-Durable Goods","Georgia"
"SMU13000003231100001","Food Manufacturing","Georgia"
"SMU13000003231300001","Textile Mills","Georgia"
"SMU13000003231400001","Textile Product Mills","Georgia"
"SMU13000004000000001","Trade, Transportation, and Utilities","Georgia"
"SMU13000004100000001","Wholesale Trade","Georgia"
"SMU13000004142300001","Merchant Wholesalers, Durable Goods","Georgia"
"SMU13000004142400001","Merchant Wholesalers, Nondurable Goods","Georgia"
"SMU13000004142500001","Wholesale Electronic Markets and Agents and Brokers","Georgia"
"SMU13000004200000001","Retail Trade","Georgia"
"SMU13000004244500001","Food and Beverage Stores","Georgia"
"SMU13000004245200001","General Merchandise Stores","Georgia"
"SMU13000004245300001","Miscellaneous Store Retailers","Georgia"
"SMU13000004300000001","Transportation, Warehousing, and Utilities","Georgia"
"SMU13000004322000001","Utilities","Georgia"
"SMU13000004340008901","Transportation and Warehousing","Georgia"
"SMU13000004348100001","Air Transportation","Georgia"
"SMU13000004348400001","Truck Transportation","Georgia"
"SMU13000004349200001","Couriers and Messengers","Georgia"
"SMU13000004349300001","Warehousing and Storage","Georgia"
"SMU13000005000000001","Information","Georgia"
"SMU13000005051700001","Telecommunications","Georgia"
"SMU13000005051730001","Wired and Wireless Telecommunications Carriers","Georgia"
"SMU13000005051800001","Data Processing, Hosting, and Related Services","Georgia"
"SMU13000005500000001","Financial Activities","Georgia"
"SMU13000005552000001","Finance and Insurance","Georgia"
"SMU13000005552400001","Insurance Carriers and Related Activities","Georgia"
"SMU13000005553000001","Real Estate and Rental and Leasing","Georgia"
"SMU13000006000000001","Professional and Business Services","Georgia"
"SMU13000006054000001","Professional, Scientific, and Technical Services","Georgia"
"SMU13000006054120001","Accounting, Tax Preparation, Bookkeeping, and Payroll Services","Georgia"
"SMU13000006054130001","Architectural, Engineering, and Related Services","Georgia"
"SMU13000006054150001","Computer Systems Design and Related Services","Georgia"
"SMU13000006054160001","Management, Scientific, and Technical Consulting Services","Georgia"
"SMU13000006055000001","Management of Companies and Enterprises","Georgia"
"SMU13000006056000001","Administrative and Support and Waste Management and Remediation Services","Georgia"
"SMU13000006056130001","Employment Services","Georgia"
"SMU13000006500000001","Education and Health Services","Georgia"
"SMU13000006561000001","Educational Services","Georgia"
"SMU13000006561130001","Colleges, Universities, and Professional Schools","Georgia"
"SMU13000006562000001","Health Care and Social Assistance","Georgia"
"SMU13000006562100001","Ambulatory Health Care Services","Georgia"
"SMU13000006562200001","Hospitals","Georgia"
"SMU13000006562300001","Nursing and Residential Care Facilities","Georgia"
"SMU13000006562400001","Social Assistance","Georgia"
"SMU13000007000000001","Leisure and Hospitality","Georgia"
"SMU13000007071000001","Arts, Entertainment, and Recreation","Georgia"
"SMU13000007071300001","Amusement, Gambling, and Recreation Industries","Georgia"
"SMU13000007072000001","Accommodation and Food Services","Georgia"
"SMU13000007072100001","Accommodation","Georgia"
"SMU13000007072200001","Food Services and Drinking Places","Georgia"
"SMU13000008000000001","Other Services","Georgia"
"SMU13000008081100001","Repair and Maintenance","Georgia"
"SMU13000008081200001","Personal and Laundry Services","Georgia"
"SMU13000008081300001","Religious, Grantmaking, Civic, Professional, and Similar Organizations","Georgia"
"SMU13000009000000001","Government","Georgia"
"SMU13000009091000001","Federal Government","Georgia"
"SMU13000009091911901","Department of Defense, including Ship Building and Hospitals","Georgia"
"SMU13000009092000001","State Government","Georgia"
"SMU13000009092161101","State Government Educational Services","Georgia"
"SMU13000009092200001","State Government Excluding Education","Georgia"
"SMU13000009093000001","Local Government","Georgia"
"SMU13000009093161101","Local Government Educational Services","Georgia"
"SMU13000009093200001","Local Government excluding Educational Services","Georgia"
"SMU45000000000000001","Total Nonfarm","South Carolina"
"SMU45000000500000001","Total Private","South Carolina"
