"Series ID","Industry","State"
"SMS13000000000000001","Total Nonfarm","Georgia"
"SMS13000000500000001","Total Private","Georgia"
"SMS13000000600000001","Goods Producing","Georgia"
"SMS13000000700000001","Service-Providing","Georgia"
"SMS13000000800000001","Private Service Providing","Georgia"
"SMS13000001000000001","Mining and Logging","Georgia"
"SMS13000001500000001","Mining, Logging and Construction","Georgia"
"SMS13000002000000001","Construction","Georgia"
"SMS13000003000000001","Manufacturing","Georgia"
"SMS13000003100000001","Durable Goods","Georgia"
"SMS13000003200000001","Non-Durable Goods","Georgia"
"SMS13000004000000001","Trade, Transportation, and Utilities","Georgia"
"SMS13000004100000001","Wholesale Trade","Georgia"
"SMS13000004200000001","Retail Trade","Georgia"
"SMS13000004300000001","Transportation, Warehousing, and Utilities","Georgia"
"SMS13000005000000001","Information","Georgia"
"SMS13000005500000001","Financial Activities","Georgia"
"SMS13000005552000001","Finance and Insurance","Georgia"
"SMS13000005553000001","Real Estate and Rental and Leasing","Georgia"
"SMS13000006000000001","Professional and Business Services","Georgia"
"SMS13000006054000001","Professional, Scientific, and Technical Services","Georgia"
"SMS13000006055000001","Management of Companies and Enterprises","Georgia"
"SMS13000006056000001","Administrative and Support and Waste Management and Remediation Services","Georgia"
"SMS13000006500000001","Education and Health Services","Georgia"
"SMS13000006561000001","Educational Services","Georgia"
"SMS13000006562000001","Health Care and Social Assistance","Georgia"
"SMS13000007000000001","Leisure and Hospitality","Georgia"
"SMS13000007071000001","Arts, Entertainment, and Recreation","Georgia"
"SMS13000007072000001","Accommodation and Food Services","Georgia"
"SMS13000008000000001","Other Services","Georgia"
"SMS13000009000000001","Government","Georgia"
"SMS13000009091000001","Federal Government","Georgia"
"SMS13000009092000001","State Government","Georgia"
"SMS13000009093000001","Local Government","Georgia"
"SMS45000000000000001","Total Nonfarm","South Carolina"
"SMS45000000500000001","Total Private","South Carolina"
"SMS45000000600000001","Goods Producing","South Carolina"
"SMS45000000700000001","Service-Providing","South Carolina"
"SMS45000000800000001","Private Service Providing","South Carolina"
"SMS45000001000000001","Mining and Logging","South Carolina"
"SMS45000001500000001","Mining, Logging and Construction","South Carolina"
"SMS45000002000000001","Construction","South Carolina"
"SMS45000003000000001","Manufacturing","South Carolina"
"SMS45000003100000001","Durable Goods","South Carolina"
"SMS45000003200000001","Non-Durable Goods","South Carolina"
"SMS45000004000000001","Trade, Transportation, and Utilities","South Carolina"
"SMS45000004100000001","Wholesale Trade","South Carolina"
"SMS45000004200000001","Retail Trade","South Carolina"
"SMS45000004300000001","Transportation, Warehousing, and Utilities","South Carolina"
"SMS45000005000000001","Information","South Carolina"
"SMS45000005500000001","Financial Activities","South Carolina"
"SMS45000005552000001","Finance and Insurance","South Carolina"
"SMS45000005553000001","Real Estate and Rental and Leasing","South Carolina"
"SMS45000006000000001","Professional and Business Services","South Carolina"
"SMS45000006054000001","Professional, Scientific, and Technical Services","South Carolina"
"SMS45000006055000001","Management of Companies and Enterprises","South Carolina"
"SMS45000006056000001","Administrative and Support and Waste Management and Remediation Services","South Carolina"
"SMS45000006500000001","Education and Health Services","South Carolina"
"SMS45000006561000001","Educational Services","South Carolina"
