"Series ID","Area","Industry","Datatype","Adjustment Method","State"
"SMS13000000000000001","Statewide","Total Nonfarm","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000000500000001","Statewide","Total Private","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000000600000001","Statewide","Goods Producing","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000000700000001","Statewide","Service-Providing","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000000800000001","Statewide","Private Service Providing","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000001000000001","Statewide","Mining and Logging","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000001500000001","Statewide","Mining, Logging and Construction","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000002000000001","Statewide","Construction","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000003000000001","Statewide","Manufacturing","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000003100000001","Statewide","Durable Goods","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000003200000001","Statewide","Non-Durable Goods","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000004000000001","Statewide","Trade, Transportation, and Utilities","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000004100000001","Statewide","Wholesale Trade","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000004200000001","Statewide","Retail Trade","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000004300000001","Statewide","Transportation, Warehousing, and Utilities","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000005000000001","Statewide","Information","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000005500000001","Statewide","Financial Activities","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000005552000001","Statewide","Finance and Insurance","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000005553000001","Statewide","Real Estate and Rental and Leasing","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000006000000001","Statewide","Professional and Business Services","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000006054000001","Statewide","Professional, Scientific, and Technical Services","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000006055000001","Statewide","Management of Companies and Enterprises","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000006056000001","Statewide","Administrative and Support and Waste Management and Remediation Services","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000006500000001","Statewide","Education and Health Services","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000006561000001","Statewide","Educational Services","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000006562000001","Statewide","Health Care and Social Assistance","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000007000000001","Statewide","Leisure and Hospitality","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000007071000001","Statewide","Arts, Entertainment, and Recreation","All Employees, In Thousands","Seasonally Adjusted","Georgia"
"SMS13000007072000001","Statewide","Accommodation and Food Services","All Employees, In Thousands","Seasonally Adjusted","Georgia"
