"time_id","date_name","year","quarter","month","month_name"
200701,"2007 January",2007,"Q1",1,"January"
200702,"2007 February",2007,"Q1",2,"February"
200703,"2007 March",2007,"Q1",3,"March"
200704,"2007 April",2007,"Q2",4,"April"
200705,"2007 May",2007,"Q2",5,"May"
200706,"2007 June",2007,"Q2",6,"June"
200707,"2007 July",2007,"Q3",7,"July"
200708,"2007 August",2007,"Q3",8,"August"
200709,"2007 September",2007,"Q3",9,"September"
200710,"2007 October",2007,"Q4",10,"October"
200711,"2007 November",2007,"Q4",11,"November"
200712,"2007 December",2007,"Q4",12,"December"
200801,"2008 January",2008,"Q1",1,"January"
200802,"2008 February",2008,"Q1",2,"February"
200803,"2008 March",2008,"Q1",3,"March"
200804,"2008 April",2008,"Q2",4,"April"
200805,"2008 May",2008,"Q2",5,"May"
200806,"2008 June",2008,"Q2",6,"June"
200807,"2008 July",2008,"Q3",7,"July"
200808,"2008 August",2008,"Q3",8,"August"
200809,"2008 September",2008,"Q3",9,"September"
200810,"2008 October",2008,"Q4",10,"October"
200811,"2008 November",2008,"Q4",11,"November"
200812,"2008 December",2008,"Q4",12,"December"
200901,"2009 January",2009,"Q1",1,"January"
200902,"2009 February",2009,"Q1",2,"February"
200903,"2009 March",2009,"Q1",3,"March"
200904,"2009 April",2009,"Q2",4,"April"
200905,"2009 May",2009,"Q2",5,"May"
200906,"2009 June",2009,"Q2",6,"June"
200907,"2009 July",2009,"Q3",7,"July"
200908,"2009 August",2009,"Q3",8,"August"
200909,"2009 September",2009,"Q3",9,"September"
200910,"2009 October",2009,"Q4",10,"October"
200911,"2009 November",2009,"Q4",11,"November"
200912,"2009 December",2009,"Q4",12,"December"
201001,"2010 January",2010,"Q1",1,"January"
201002,"2010 February",2010,"Q1",2,"February"
201003,"2010 March",2010,"Q1",3,"March"
201004,"2010 April",2010,"Q2",4,"April"
201005,"2010 May",2010,"Q2",5,"May"
201006,"2010 June",2010,"Q2",6,"June"
201007,"2010 July",2010,"Q3",7,"July"
201008,"2010 August",2010,"Q3",8,"August"
201009,"2010 September",2010,"Q3",9,"September"
201010,"2010 October",2010,"Q4",10,"October"
201011,"2010 November",2010,"Q4",11,"November"
201012,"2010 December",2010,"Q4",12,"December"
201101,"2011 January",2011,"Q1",1,"January"
201102,"2011 February",2011,"Q1",2,"February"
201103,"2011 March",2011,"Q1",3,"March"
201104,"2011 April",2011,"Q2",4,"April"
201105,"2011 May",2011,"Q2",5,"May"
201106,"2011 June",2011,"Q2",6,"June"
201107,"2011 July",2011,"Q3",7,"July"
201108,"2011 August",2011,"Q3",8,"August"
201109,"2011 September",2011,"Q3",9,"September"
201110,"2011 October",2011,"Q4",10,"October"
201111,"2011 November",2011,"Q4",11,"November"
201112,"2011 December",2011,"Q4",12,"December"
201201,"2012 January",2012,"Q1",1,"January"
201202,"2012 February",2012,"Q1",2,"February"
201203,"2012 March",2012,"Q1",3,"March"
201204,"2012 April",2012,"Q2",4,"April"
201205,"2012 May",2012,"Q2",5,"May"
201206,"2012 June",2012,"Q2",6,"June"
201207,"2012 July",2012,"Q3",7,"July"
201208,"2012 August",2012,"Q3",8,"August"
201209,"2012 September",2012,"Q3",9,"September"
201210,"2012 October",2012,"Q4",10,"October"
201211,"2012 November",2012,"Q4",11,"November"
201212,"2012 December",2012,"Q4",12,"December"
201301,"2013 January",2013,"Q1",1,"January"
201302,"2013 February",2013,"Q1",2,"February"
201303,"2013 March",2013,"Q1",3,"March"
201304,"2013 April",2013,"Q2",4,"April"
201305,"2013 May",2013,"Q2",5,"May"
201306,"2013 June",2013,"Q2",6,"June"
201307,"2013 July",2013,"Q3",7,"July"
201308,"2013 August",2013,"Q3",8,"August"
201309,"2013 September",2013,"Q3",9,"September"
201310,"2013 October",2013,"Q4",10,"October"
201311,"2013 November",2013,"Q4",11,"November"
201312,"2013 December",2013,"Q4",12,"December"
201401,"2014 January",2014,"Q1",1,"January"
201402,"2014 February",2014,"Q1",2,"February"
201403,"2014 March",2014,"Q1",3,"March"
201404,"2014 April",2014,"Q2",4,"April"
201405,"2014 May",2014,"Q2",5,"May"
201406,"2014 June",2014,"Q2",6,"June"
201407,"2014 July",2014,"Q3",7,"July"
201408,"2014 August",2014,"Q3",8,"August"
201409,"2014 September",2014,"Q3",9,"September"
201410,"2014 October",2014,"Q4",10,"October"
201411,"2014 November",2014,"Q4",11,"November"
201412,"2014 December",2014,"Q4",12,"December"
201501,"2015 January",2015,"Q1",1,"January"
201502,"2015 February",2015,"Q1",2,"February"
201503,"2015 March",2015,"Q1",3,"March"
201504,"2015 April",2015,"Q2",4,"April"
201505,"2015 May",2015,"Q2",5,"May"
201506,"2015 June",2015,"Q2",6,"June"
201507,"2015 July",2015,"Q3",7,"July"
201508,"2015 August",2015,"Q3",8,"August"
201509,"2015 September",2015,"Q3",9,"September"
201510,"2015 October",2015,"Q4",10,"October"
201511,"2015 November",2015,"Q4",11,"November"
201512,"2015 December",2015,"Q4",12,"December"
201601,"2016 January",2016,"Q1",1,"January"
201602,"2016 February",2016,"Q1",2,"February"
201603,"2016 March",2016,"Q1",3,"March"
201604,"2016 April",2016,"Q2",4,"April"
201605,"2016 May",2016,"Q2",5,"May"
201606,"2016 June",2016,"Q2",6,"June"
201607,"2016 July",2016,"Q3",7,"July"
201608,"2016 August",2016,"Q3",8,"August"
201609,"2016 September",2016,"Q3",9,"September"
201610,"2016 October",2016,"Q4",10,"October"
201611,"2016 November",2016,"Q4",11,"November"
201612,"2016 December",2016,"Q4",12,"December"
201701,"2017 January",2017,"Q1",1,"January"
201702,"2017 February",2017,"Q1",2,"February"
201703,"2017 March",2017,"Q1",3,"March"
201704,"2017 April",2017,"Q2",4,"April"
201705,"2017 May",2017,"Q2",5,"May"
201706,"2017 June",2017,"Q2",6,"June"
201707,"2017 July",2017,"Q3",7,"July"
201708,"2017 August",2017,"Q3",8,"August"
201709,"2017 September",2017,"Q3",9,"September"
201710,"2017 October",2017,"Q4",10,"October"
201711,"2017 November",2017,"Q4",11,"November"
201712,"2017 December",2017,"Q4",12,"December"
201801,"2018 January",2018,"Q1",1,"January"
201802,"2018 February",2018,"Q1",2,"February"
