"state_id","state_name","fips_code"
1,"Alabama","04000US01"
2,"Alaska","04000US02"
4,"Arizona","04000US04"
5,"Arkansas","04000US05"
6,"California","04000US06"
8,"Colorado","04000US08"
9,"Connecticut","04000US09"
10,"Delaware","04000US10"
11,"District of Columbia","04000US11"
12,"Florida","04000US12"
13,"Georgia","04000US13"
15,"Hawaii","04000US15"
16,"Idaho","04000US16"
17,"Illinois","04000US17"
18,"Indiana","04000US18"
19,"Iowa","04000US19"
20,"Kansas","04000US20"
21,"Kentucky","04000US21"
22,"Louisiana","04000US22"
23,"Maine","04000US23"
24,"Maryland","04000US24"
25,"Massachusetts","04000US25"
26,"Michigan","04000US26"
27,"Minnesota","04000US27"
28,"Mississippi","04000US28"
29,"Missouri","04000US29"
30,"Montana","04000US30"
31,"Nebraska","04000US31"
32,"Nevada","04000US32"
33,"New Hampshire","04000US33"
34,"New Jersey","04000US34"
35,"New Mexico","04000US35"
36,"New York","04000US36"
37,"North Carolina","04000US37"
38,"North Dakota","04000US38"
39,"Ohio","04000US39"
40,"Oklahoma","04000US40"
41,"Oregon","04000US41"
42,"Pennsylvania","04000US42"
44,"Rhode Island","04000US44"
45,"South Carolina","04000US45"
46,"South Dakota","04000US46"
47,"Tennessee","04000US47"
48,"Texas","04000US48"
49,"Utah","04000US49"
50,"Vermont","04000US50"
51,"Virginia","04000US51"
53,"Washington","04000US53"
54,"West Virginia","04000US54"
55,"Wisconsin","04000US55"
56,"Wyoming","04000US56"
72,"Puerto Rico","04000US72"
78,"Virgin Islands","04000US78"
